Member_number,Date,itemDescription,year,month,day,day_of_week,first,second,third,fourth,Item
2507,25-08-2015,root vegetables,2015,8,25,1,root,vegetables,,,rootvegetables
4620,03-11-2015,sausage,2015,11,3,1,sausage,,,,
3365,02-01-2015,canned beer,2015,1,2,4,canned,beer,,,cannedbeer
2978,06-05-2015,ham,2015,5,6,2,ham,,,,
2910,28-07-2015,turkey,2015,7,28,1,turkey,,,,
1061,09-05-2015,whole milk,2015,5,9,5,whole,milk,,,wholemilk
3276,04-03-2015,whole milk,2015,3,4,2,whole,milk,,,wholemilk
1326,19-06-2015,packaged fruit/vegetables,2015,6,19,4,packaged,fruit/vegetables,,,packagedfruit/vegetables
3023,28-07-2015,rolls/buns,2015,7,28,1,rolls/buns,,,,
2185,10-11-2015,ham,2015,11,10,1,ham,,,,
3552,16-06-2015,rolls/buns,2015,6,16,1,rolls/buns,,,,
1967,20-01-2015,other vegetables,2015,1,20,1,other,vegetables,,,othervegetables
4708,20-03-2015,sausage,2015,3,20,4,sausage,,,,
2874,15-02-2015,sausage,2015,2,15,6,sausage,,,,
4177,13-04-2015,frankfurter,2015,4,13,0,frankfurter,,,,
1663,02-07-2015,rolls/buns,2015,7,2,3,rolls/buns,,,,
2632,03-02-2015,whole milk,2015,2,3,1,whole,milk,,,wholemilk
1377,14-03-2015,curd cheese,2015,3,14,5,curd,cheese,,,curdcheese
4162,22-12-2015,red/blush wine,2015,12,22,1,red/blush,wine,,,red/blushwine
2270,07-01-2015,sausage,2015,1,7,2,sausage,,,,
4829,11-03-2015,tropical fruit,2015,3,11,2,tropical,fruit,,,tropicalfruit
3811,14-04-2015,red/blush wine,2015,4,14,1,red/blush,wine,,,red/blushwine
4766,29-09-2015,whole milk,2015,9,29,1,whole,milk,,,wholemilk
2436,04-12-2015,frankfurter,2015,12,4,4,frankfurter,,,,
3860,05-05-2015,whole milk,2015,5,5,1,whole,milk,,,wholemilk
4875,05-12-2015,frozen potato products,2015,12,5,5,frozen,potato,products,,frozenpotato
1587,07-01-2015,other vegetables,2015,1,7,2,other,vegetables,,,othervegetables
4038,07-08-2015,citrus fruit,2015,8,7,4,citrus,fruit,,,citrusfruit
4750,21-09-2015,flour,2015,9,21,0,flour,,,,
1199,12-10-2015,sugar,2015,10,12,0,sugar,,,,
1603,30-09-2015,frozen meals,2015,9,30,2,frozen,meals,,,frozenmeals
3111,31-01-2015,chocolate,2015,1,31,5,chocolate,,,,
3894,13-12-2015,root vegetables,2015,12,13,6,root,vegetables,,,rootvegetables
1456,18-09-2015,root vegetables,2015,9,18,4,root,vegetables,,,rootvegetables
2022,03-04-2015,herbs,2015,4,3,4,herbs,,,,
2505,30-11-2015,bottled water,2015,11,30,0,bottled,water,,,bottledwater
4851,20-12-2015,sausage,2015,12,20,6,sausage,,,,
4293,08-04-2015,coffee,2015,4,8,2,coffee,,,,
2775,11-06-2015,pork,2015,6,11,3,pork,,,,
3693,18-02-2015,berries,2015,2,18,2,berries,,,,
1202,22-07-2015,soda,2015,7,22,2,soda,,,,
3699,23-08-2015,berries,2015,8,23,6,berries,,,,
4152,15-04-2015,fruit/vegetable juice,2015,4,15,2,fruit/vegetable,juice,,,fruit/vegetablejuice
4155,26-01-2015,citrus fruit,2015,1,26,0,citrus,fruit,,,citrusfruit
4010,29-12-2015,pork,2015,12,29,1,pork,,,,
4389,20-10-2015,detergent,2015,10,20,1,detergent,,,,
3746,17-08-2015,grapes,2015,8,17,0,grapes,,,,
2560,17-05-2015,sausage,2015,5,17,6,sausage,,,,
1503,25-07-2015,chicken,2015,7,25,5,chicken,,,,
2555,23-12-2015,whole milk,2015,12,23,2,whole,milk,,,wholemilk
3645,12-12-2015,citrus fruit,2015,12,12,5,citrus,fruit,,,citrusfruit
3886,09-11-2015,soda,2015,11,9,0,soda,,,,
2932,20-03-2015,sausage,2015,3,20,4,sausage,,,,
1711,18-06-2015,frankfurter,2015,6,18,3,frankfurter,,,,
4291,12-08-2015,sausage,2015,8,12,2,sausage,,,,
1143,25-04-2015,soda,2015,4,25,5,soda,,,,
4564,07-08-2015,rolls/buns,2015,8,7,4,rolls/buns,,,,
3337,14-05-2015,beef,2015,5,14,3,beef,,,,
4931,05-04-2015,whole milk,2015,4,5,6,whole,milk,,,wholemilk
2623,10-10-2015,processed cheese,2015,10,10,5,processed,cheese,,,processedcheese
4581,04-03-2015,tropical fruit,2015,3,4,2,tropical,fruit,,,tropicalfruit
2635,06-11-2015,frankfurter,2015,11,6,4,frankfurter,,,,
1095,30-10-2015,packaged fruit/vegetables,2015,10,30,4,packaged,fruit/vegetables,,,packagedfruit/vegetables
2990,23-05-2015,whole milk,2015,5,23,5,whole,milk,,,wholemilk
2426,06-05-2015,berries,2015,5,6,2,berries,,,,
4555,11-07-2015,citrus fruit,2015,7,11,5,citrus,fruit,,,citrusfruit
3635,09-04-2015,tropical fruit,2015,4,9,3,tropical,fruit,,,tropicalfruit
3058,18-05-2015,hamburger meat,2015,5,18,0,hamburger,meat,,,hamburgermeat
4391,26-03-2015,hamburger meat,2015,3,26,3,hamburger,meat,,,hamburgermeat
1306,23-06-2015,whole milk,2015,6,23,1,whole,milk,,,wholemilk
1024,08-10-2015,fish,2015,10,8,3,fish,,,,
1295,23-07-2015,frankfurter,2015,7,23,3,frankfurter,,,,
1661,06-01-2015,packaged fruit/vegetables,2015,1,6,1,packaged,fruit/vegetables,,,packagedfruit/vegetables
4591,15-05-2015,pastry,2015,5,15,4,pastry,,,,
3169,14-06-2015,other vegetables,2015,6,14,6,other,vegetables,,,othervegetables
3915,21-05-2015,misc. beverages,2015,5,21,3,misc.,beverages,,,misc.beverages
1127,14-01-2015,frankfurter,2015,1,14,2,frankfurter,,,,
4828,08-08-2015,sparkling wine,2015,8,8,5,sparkling,wine,,,sparklingwine
3683,06-10-2015,specialty bar,2015,10,6,1,specialty,bar,,,specialtybar
1971,18-09-2015,sausage,2015,9,18,4,sausage,,,,
3014,11-11-2015,curd cheese,2015,11,11,2,curd,cheese,,,curdcheese
3779,15-09-2015,frankfurter,2015,9,15,1,frankfurter,,,,
2489,05-04-2015,whole milk,2015,4,5,6,whole,milk,,,wholemilk
3564,27-06-2015,newspapers,2015,6,27,5,newspapers,,,,
4092,30-09-2015,berries,2015,9,30,2,berries,,,,
3221,13-01-2015,curd,2015,1,13,1,curd,,,,
1279,09-06-2015,tropical fruit,2015,6,9,1,tropical,fruit,,,tropicalfruit
2581,22-08-2015,soda,2015,8,22,5,soda,,,,
2295,25-02-2015,rolls/buns,2015,2,25,2,rolls/buns,,,,
4760,22-02-2015,canned beer,2015,2,22,6,canned,beer,,,cannedbeer
3649,16-01-2015,canned beer,2015,1,16,4,canned,beer,,,cannedbeer
1075,19-11-2015,frankfurter,2015,11,19,3,frankfurter,,,,
3987,19-08-2015,other vegetables,2015,8,19,2,other,vegetables,,,othervegetables
4106,25-08-2015,whole milk,2015,8,25,1,whole,milk,,,wholemilk
4338,24-06-2015,whole milk,2015,6,24,2,whole,milk,,,wholemilk
4166,11-06-2015,citrus fruit,2015,6,11,3,citrus,fruit,,,citrusfruit
1211,03-10-2015,frankfurter,2015,10,3,5,frankfurter,,,,
3954,21-01-2015,frankfurter,2015,1,21,2,frankfurter,,,,
3928,18-07-2015,butter milk,2015,7,18,5,butter,milk,,,buttermilk
3827,30-09-2015,hamburger meat,2015,9,30,2,hamburger,meat,,,hamburgermeat
4699,02-08-2015,pasta,2015,8,2,6,pasta,,,,
4747,06-08-2015,other vegetables,2015,8,6,3,other,vegetables,,,othervegetables
3028,06-09-2015,sausage,2015,9,6,6,sausage,,,,
2851,16-03-2015,rolls/buns,2015,3,16,0,rolls/buns,,,,
4417,25-02-2015,grapes,2015,2,25,2,grapes,,,,
3822,03-07-2015,root vegetables,2015,7,3,4,root,vegetables,,,rootvegetables
2288,31-05-2015,coffee,2015,5,31,6,coffee,,,,
2184,30-06-2015,popcorn,2015,6,30,1,popcorn,,,,
4554,27-08-2015,whole milk,2015,8,27,3,whole,milk,,,wholemilk
3361,03-05-2015,tropical fruit,2015,5,3,6,tropical,fruit,,,tropicalfruit
2999,17-04-2015,beef,2015,4,17,4,beef,,,,
2614,25-06-2015,whole milk,2015,6,25,3,whole,milk,,,wholemilk
4064,06-05-2015,frankfurter,2015,5,6,2,frankfurter,,,,
3567,10-04-2015,tropical fruit,2015,4,10,4,tropical,fruit,,,tropicalfruit
2587,05-07-2015,canned beer,2015,7,5,6,canned,beer,,,cannedbeer
3783,17-06-2015,finished products,2015,6,17,2,finished,products,,,finishedproducts
1923,14-02-2015,beverages,2015,2,14,5,beverages,,,,
4835,19-02-2015,hamburger meat,2015,2,19,3,hamburger,meat,,,hamburgermeat
1514,24-08-2015,whole milk,2015,8,24,0,whole,milk,,,wholemilk
3154,22-06-2015,finished products,2015,6,22,0,finished,products,,,finishedproducts
1313,25-12-2015,other vegetables,2015,12,25,4,other,vegetables,,,othervegetables
2794,18-07-2015,ham,2015,7,18,5,ham,,,,
2359,04-09-2015,other vegetables,2015,9,4,4,other,vegetables,,,othervegetables
2238,03-09-2015,curd,2015,9,3,3,curd,,,,
3795,17-01-2015,bottled beer,2015,1,17,5,bottled,beer,,,bottledbeer
3724,26-11-2015,curd,2015,11,26,3,curd,,,,
1152,03-05-2015,whole milk,2015,5,3,6,whole,milk,,,wholemilk
4559,16-03-2015,whole milk,2015,3,16,0,whole,milk,,,wholemilk
3922,27-02-2015,dessert,2015,2,27,4,dessert,,,,
1709,22-04-2015,sausage,2015,4,22,2,sausage,,,,
2219,17-04-2015,other vegetables,2015,4,17,4,other,vegetables,,,othervegetables
2206,17-10-2015,ham,2015,10,17,5,ham,,,,
1752,04-06-2015,other vegetables,2015,6,4,3,other,vegetables,,,othervegetables
3942,11-10-2015,other vegetables,2015,10,11,6,other,vegetables,,,othervegetables
3296,17-08-2015,soda,2015,8,17,0,soda,,,,
2257,02-05-2015,herbs,2015,5,2,5,herbs,,,,
4313,28-07-2015,frankfurter,2015,7,28,1,frankfurter,,,,
2001,21-08-2015,rolls/buns,2015,8,21,4,rolls/buns,,,,
2449,07-08-2015,curd,2015,8,7,4,curd,,,,
4914,04-12-2015,frankfurter,2015,12,4,4,frankfurter,,,,
2764,24-07-2015,other vegetables,2015,7,24,4,other,vegetables,,,othervegetables
4187,05-09-2015,dog food,2015,9,5,5,dog,food,,,dogfood
1392,20-04-2015,specialty bar,2015,4,20,0,specialty,bar,,,specialtybar
3427,28-04-2015,curd,2015,4,28,1,curd,,,,
1411,20-02-2015,frankfurter,2015,2,20,4,frankfurter,,,,
3390,14-11-2015,soda,2015,11,14,5,soda,,,,
4787,08-01-2015,beef,2015,1,8,3,beef,,,,
3310,17-01-2015,canned beer,2015,1,17,5,canned,beer,,,cannedbeer
1782,10-10-2015,pork,2015,10,10,5,pork,,,,
3375,26-04-2015,frankfurter,2015,4,26,6,frankfurter,,,,
2760,01-07-2015,sausage,2015,7,1,2,sausage,,,,
4249,13-09-2015,canned beer,2015,9,13,6,canned,beer,,,cannedbeer
2904,06-06-2015,specialty chocolate,2015,6,6,5,specialty,chocolate,,,specialtychocolate
4090,26-02-2015,curd,2015,2,26,3,curd,,,,
3060,07-05-2015,canned beer,2015,5,7,3,canned,beer,,,cannedbeer
3768,10-07-2015,whole milk,2015,7,10,4,whole,milk,,,wholemilk
1232,21-01-2015,rolls/buns,2015,1,21,2,rolls/buns,,,,
1360,23-10-2015,pork,2015,10,23,4,pork,,,,
1107,10-01-2015,citrus fruit,2015,1,10,5,citrus,fruit,,,citrusfruit
2865,11-04-2015,pot plants,2015,4,11,5,pot,plants,,,potplants
2958,14-06-2015,rolls/buns,2015,6,14,6,rolls/buns,,,,
2448,07-12-2015,butter,2015,12,7,0,butter,,,,
1222,24-09-2015,condensed milk,2015,9,24,3,condensed,milk,,,condensedmilk
2943,20-06-2015,sausage,2015,6,20,5,sausage,,,,
2270,08-11-2015,whole milk,2015,11,8,6,whole,milk,,,wholemilk
3812,21-07-2015,sausage,2015,7,21,1,sausage,,,,
1482,22-11-2015,beverages,2015,11,22,6,beverages,,,,
4720,22-02-2015,beverages,2015,2,22,6,beverages,,,,
1344,09-04-2015,bottled water,2015,4,9,3,bottled,water,,,bottledwater
2397,10-04-2015,newspapers,2015,4,10,4,newspapers,,,,
4182,05-12-2015,cleaner,2015,12,5,5,cleaner,,,,
4487,07-10-2015,sausage,2015,10,7,2,sausage,,,,
3467,24-12-2015,newspapers,2015,12,24,3,newspapers,,,,
2443,15-11-2015,sausage,2015,11,15,6,sausage,,,,
2749,27-01-2015,misc. beverages,2015,1,27,1,misc.,beverages,,,misc.beverages
4389,13-04-2015,white wine,2015,4,13,0,white,wine,,,whitewine
1674,12-04-2015,sausage,2015,4,12,6,sausage,,,,
4262,16-10-2015,meat,2015,10,16,4,meat,,,,
2082,04-07-2015,frankfurter,2015,7,4,5,frankfurter,,,,
4494,01-06-2015,ice cream,2015,6,1,0,ice,cream,,,icecream
2460,28-09-2015,canned beer,2015,9,28,0,canned,beer,,,cannedbeer
4509,29-11-2015,tropical fruit,2015,11,29,6,tropical,fruit,,,tropicalfruit
2267,07-03-2015,meat,2015,3,7,5,meat,,,,
4891,09-05-2015,whole milk,2015,5,9,5,whole,milk,,,wholemilk
3962,20-09-2015,sausage,2015,9,20,6,sausage,,,,
4964,18-07-2015,frankfurter,2015,7,18,5,frankfurter,,,,
2914,30-11-2015,meat,2015,11,30,0,meat,,,,
2808,05-05-2015,root vegetables,2015,5,5,1,root,vegetables,,,rootvegetables
1085,15-08-2015,root vegetables,2015,8,15,5,root,vegetables,,,rootvegetables
3808,18-08-2015,whole milk,2015,8,18,1,whole,milk,,,wholemilk
4149,01-07-2015,citrus fruit,2015,7,1,2,citrus,fruit,,,citrusfruit
2331,06-05-2015,citrus fruit,2015,5,6,2,citrus,fruit,,,citrusfruit
4475,04-03-2015,other vegetables,2015,3,4,2,other,vegetables,,,othervegetables
2761,25-04-2015,citrus fruit,2015,4,25,5,citrus,fruit,,,citrusfruit
2620,14-12-2015,sausage,2015,12,14,0,sausage,,,,
3206,13-10-2015,frankfurter,2015,10,13,1,frankfurter,,,,
1226,13-04-2015,hard cheese,2015,4,13,0,hard,cheese,,,hardcheese
1395,03-07-2015,cream cheese ,2015,7,3,4,cream,cheese,,,creamcheese
2465,06-07-2015,turkey,2015,7,6,0,turkey,,,,
3572,07-09-2015,pork,2015,9,7,0,pork,,,,
4387,05-08-2015,whole milk,2015,8,5,2,whole,milk,,,wholemilk
1555,27-03-2015,rolls/buns,2015,3,27,4,rolls/buns,,,,
1181,16-11-2015,sausage,2015,11,16,0,sausage,,,,
2814,05-11-2015,ice cream,2015,11,5,3,ice,cream,,,icecream
2794,16-09-2015,liquor,2015,9,16,2,liquor,,,,
2912,28-01-2015,pip fruit,2015,1,28,2,pip,fruit,,,pipfruit
4667,01-12-2015,root vegetables,2015,12,1,1,root,vegetables,,,rootvegetables
2235,25-10-2015,soda,2015,10,25,6,soda,,,,
2353,05-02-2015,soda,2015,2,5,3,soda,,,,
3449,03-08-2015,sausage,2015,8,3,0,sausage,,,,
1058,11-10-2015,root vegetables,2015,10,11,6,root,vegetables,,,rootvegetables
1027,17-05-2015,pork,2015,5,17,6,pork,,,,
3302,22-05-2015,pork,2015,5,22,4,pork,,,,
2229,30-05-2015,chocolate,2015,5,30,5,chocolate,,,,
2188,15-08-2015,fruit/vegetable juice,2015,8,15,5,fruit/vegetable,juice,,,fruit/vegetablejuice
1547,18-04-2015,pickled vegetables,2015,4,18,5,pickled,vegetables,,,pickledvegetables
1649,30-06-2015,bottled water,2015,6,30,1,bottled,water,,,bottledwater
3254,09-10-2015,frankfurter,2015,10,9,4,frankfurter,,,,
2818,11-07-2015,tropical fruit,2015,7,11,5,tropical,fruit,,,tropicalfruit
2703,05-08-2015,canned beer,2015,8,5,2,canned,beer,,,cannedbeer
3332,31-01-2015,root vegetables,2015,1,31,5,root,vegetables,,,rootvegetables
2473,07-01-2015,meat,2015,1,7,2,meat,,,,
2810,30-12-2015,frankfurter,2015,12,30,2,frankfurter,,,,
1033,22-04-2015,tropical fruit,2015,4,22,2,tropical,fruit,,,tropicalfruit
4222,27-05-2015,tropical fruit,2015,5,27,2,tropical,fruit,,,tropicalfruit
3679,21-09-2015,citrus fruit,2015,9,21,0,citrus,fruit,,,citrusfruit
2212,27-08-2015,hamburger meat,2015,8,27,3,hamburger,meat,,,hamburgermeat
1507,22-06-2015,chicken,2015,6,22,0,chicken,,,,
2870,21-01-2015,chicken,2015,1,21,2,chicken,,,,
3429,26-04-2015,frankfurter,2015,4,26,6,frankfurter,,,,
4148,04-09-2015,canned beer,2015,9,4,4,canned,beer,,,cannedbeer
2970,30-12-2015,turkey,2015,12,30,2,turkey,,,,
2013,30-08-2015,packaged fruit/vegetables,2015,8,30,6,packaged,fruit/vegetables,,,packagedfruit/vegetables
3967,30-05-2015,pasta,2015,5,30,5,pasta,,,,
2885,15-05-2015,citrus fruit,2015,5,15,4,citrus,fruit,,,citrusfruit
3935,07-02-2015,sausage,2015,2,7,5,sausage,,,,
3283,05-01-2015,whole milk,2015,1,5,0,whole,milk,,,wholemilk
3268,11-06-2015,canned beer,2015,6,11,3,canned,beer,,,cannedbeer
3677,30-04-2015,citrus fruit,2015,4,30,3,citrus,fruit,,,citrusfruit
3495,27-06-2015,liquor (appetizer),2015,6,27,5,liquor,(appetizer),,,liquor(appetizer)
1410,10-04-2015,citrus fruit,2015,4,10,4,citrus,fruit,,,citrusfruit
2440,06-06-2015,sausage,2015,6,6,5,sausage,,,,
4088,13-01-2015,chicken,2015,1,13,1,chicken,,,,
2469,23-09-2015,hamburger meat,2015,9,23,2,hamburger,meat,,,hamburgermeat
4229,03-06-2015,sausage,2015,6,3,2,sausage,,,,
2728,08-02-2015,beef,2015,2,8,6,beef,,,,
4694,25-01-2015,citrus fruit,2015,1,25,6,citrus,fruit,,,citrusfruit
2836,29-12-2015,uht-milk,2015,12,29,1,uht-milk,,,,
1311,02-12-2015,candy,2015,12,2,2,candy,,,,
1760,23-01-2015,newspapers,2015,1,23,4,newspapers,,,,
3656,03-02-2015,beef,2015,2,3,1,beef,,,,
3720,28-05-2015,sausage,2015,5,28,3,sausage,,,,
2996,26-09-2015,frankfurter,2015,9,26,5,frankfurter,,,,
1949,22-07-2015,canned beer,2015,7,22,2,canned,beer,,,cannedbeer
4498,02-11-2015,bottled beer,2015,11,2,0,bottled,beer,,,bottledbeer
2447,28-12-2015,onions,2015,12,28,0,onions,,,,
1952,23-03-2015,tropical fruit,2015,3,23,0,tropical,fruit,,,tropicalfruit
4099,27-01-2015,bottled water,2015,1,27,1,bottled,water,,,bottledwater
1804,03-12-2015,beef,2015,12,3,3,beef,,,,
1510,16-05-2015,sausage,2015,5,16,5,sausage,,,,
2879,18-04-2015,hair spray,2015,4,18,5,hair,spray,,,hairspray
4899,03-12-2015,chicken,2015,12,3,3,chicken,,,,
4326,29-09-2015,pork,2015,9,29,1,pork,,,,
1670,17-05-2015,ice cream,2015,5,17,6,ice,cream,,,icecream
1117,24-05-2015,meat,2015,5,24,6,meat,,,,
1346,04-03-2015,other vegetables,2015,3,4,2,other,vegetables,,,othervegetables
1178,15-11-2015,bottled water,2015,11,15,6,bottled,water,,,bottledwater
1649,25-06-2015,tropical fruit,2015,6,25,3,tropical,fruit,,,tropicalfruit
4651,21-06-2015,photo/film,2015,6,21,6,photo/film,,,,
4243,04-02-2015,sausage,2015,2,4,2,sausage,,,,
4429,21-07-2015,grapes,2015,7,21,1,grapes,,,,
4645,25-07-2015,domestic eggs,2015,7,25,5,domestic,eggs,,,domesticeggs
4019,24-07-2015,rolls/buns,2015,7,24,4,rolls/buns,,,,
4459,26-04-2015,tropical fruit,2015,4,26,6,tropical,fruit,,,tropicalfruit
3006,27-12-2015,chicken,2015,12,27,6,chicken,,,,
1834,17-09-2015,frankfurter,2015,9,17,3,frankfurter,,,,
3236,07-04-2015,berries,2015,4,7,1,berries,,,,
1765,03-11-2015,margarine,2015,11,3,1,margarine,,,,
3855,03-09-2015,tropical fruit,2015,9,3,3,tropical,fruit,,,tropicalfruit
4392,28-11-2015,ham,2015,11,28,5,ham,,,,
3330,26-07-2015,hamburger meat,2015,7,26,6,hamburger,meat,,,hamburgermeat
1723,09-02-2015,yogurt,2015,2,9,0,yogurt,,,,
4110,30-03-2015,soda,2015,3,30,0,soda,,,,
2600,28-01-2015,yogurt,2015,1,28,2,yogurt,,,,
2946,10-07-2015,soda,2015,7,10,4,soda,,,,
2426,09-08-2015,bottled water,2015,8,9,6,bottled,water,,,bottledwater
4170,05-03-2015,sausage,2015,3,5,3,sausage,,,,
1109,04-06-2015,citrus fruit,2015,6,4,3,citrus,fruit,,,citrusfruit
3429,01-04-2015,shopping bags,2015,4,1,2,shopping,bags,,,shoppingbags
2055,02-04-2015,newspapers,2015,4,2,3,newspapers,,,,
2480,20-09-2015,frankfurter,2015,9,20,6,frankfurter,,,,
2441,30-05-2015,sausage,2015,5,30,5,sausage,,,,
1054,10-04-2015,frankfurter,2015,4,10,4,frankfurter,,,,
4818,01-11-2015,salt,2015,11,1,6,salt,,,,
3379,21-01-2015,oil,2015,1,21,2,oil,,,,
3939,02-10-2015,curd,2015,10,2,4,curd,,,,
1367,08-05-2015,other vegetables,2015,5,8,4,other,vegetables,,,othervegetables
1043,01-10-2015,citrus fruit,2015,10,1,3,citrus,fruit,,,citrusfruit
2231,17-10-2015,frankfurter,2015,10,17,5,frankfurter,,,,
3235,28-12-2015,root vegetables,2015,12,28,0,root,vegetables,,,rootvegetables
4554,16-07-2015,tropical fruit,2015,7,16,3,tropical,fruit,,,tropicalfruit
3245,24-01-2015,beef,2015,1,24,5,beef,,,,
2996,19-05-2015,berries,2015,5,19,1,berries,,,,
2507,01-05-2015,canned beer,2015,5,1,4,canned,beer,,,cannedbeer
4186,25-10-2015,whipped/sour cream,2015,10,25,6,whipped/sour,cream,,,whipped/sourcream
3929,28-04-2015,root vegetables,2015,4,28,1,root,vegetables,,,rootvegetables
3760,22-11-2015,whole milk,2015,11,22,6,whole,milk,,,wholemilk
4928,18-08-2015,beef,2015,8,18,1,beef,,,,
4217,18-12-2015,frozen vegetables,2015,12,18,4,frozen,vegetables,,,frozenvegetables
1174,02-11-2015,rolls/buns,2015,11,2,0,rolls/buns,,,,
4103,19-06-2015,whole milk,2015,6,19,4,whole,milk,,,wholemilk
4408,13-03-2015,whole milk,2015,3,13,4,whole,milk,,,wholemilk
2588,28-12-2015,citrus fruit,2015,12,28,0,citrus,fruit,,,citrusfruit
2598,11-11-2015,pastry,2015,11,11,2,pastry,,,,
1518,12-11-2015,frankfurter,2015,11,12,3,frankfurter,,,,
2702,04-08-2015,tropical fruit,2015,8,4,1,tropical,fruit,,,tropicalfruit
1001,20-01-2015,frankfurter,2015,1,20,1,frankfurter,,,,
2270,30-09-2015,berries,2015,9,30,2,berries,,,,
2838,11-10-2015,rolls/buns,2015,10,11,6,rolls/buns,,,,
1683,26-05-2015,root vegetables,2015,5,26,1,root,vegetables,,,rootvegetables
4040,04-03-2015,yogurt,2015,3,4,2,yogurt,,,,
3897,23-08-2015,other vegetables,2015,8,23,6,other,vegetables,,,othervegetables
2200,03-11-2015,berries,2015,11,3,1,berries,,,,
4073,29-01-2015,berries,2015,1,29,3,berries,,,,
3700,19-04-2015,other vegetables,2015,4,19,6,other,vegetables,,,othervegetables
3973,06-10-2015,rolls/buns,2015,10,6,1,rolls/buns,,,,
2715,07-06-2015,ham,2015,6,7,6,ham,,,,
3967,23-11-2015,whole milk,2015,11,23,0,whole,milk,,,wholemilk
4002,09-03-2015,tropical fruit,2015,3,9,0,tropical,fruit,,,tropicalfruit
2962,03-01-2015,bottled water,2015,1,3,5,bottled,water,,,bottledwater
4340,25-12-2015,butter milk,2015,12,25,4,butter,milk,,,buttermilk
2092,11-06-2015,newspapers,2015,6,11,3,newspapers,,,,
3143,24-05-2015,coffee,2015,5,24,6,coffee,,,,
